,0,1,2,3
55,Local Government  Budget Framework Papers,2023/24,Kamuli Mc.pdf,https://budget.finance.go.ug/sites/default/files/Indivisual%20LG%20Budgets/Kamuli%20Mc_1.pdf
56,Local Government  Budget Framework Papers,2023/24,Kaochorwa MC.pdf,https://budget.finance.go.ug/sites/default/files/Indivisual%20LG%20Budgets/Kaochorwa%20MC.pdf
57,Local Government  Budget Framework Papers,2023/24,Kasese Mc.pdf,https://budget.finance.go.ug/sites/default/files/Indivisual%20LG%20Budgets/Kasese%20Mc_2.pdf
58,Local Government  Budget Framework Papers,2023/24,Kira Mc.pdf,https://budget.finance.go.ug/sites/default/files/Indivisual%20LG%20Budgets/Kira%20Mc_0.pdf
59,Local Government  Budget Framework Papers,2023/24,Kisoro Mc.pdf,https://budget.finance.go.ug/sites/default/files/Indivisual%20LG%20Budgets/Kisoro%20Mc_0.pdf
60,Local Government  Budget Framework Papers,2023/24,Kitgum Mc.pdf,https://budget.finance.go.ug/sites/default/files/Indivisual%20LG%20Budgets/Kitgum%20Mc_3.pdf
61,Local Government  Budget Framework Papers,2023/24,Koboko Mc.pdf,https://budget.finance.go.ug/sites/default/files/Indivisual%20LG%20Budgets/Koboko%20Mc_0.pdf
62,Local Government  Budget Framework Papers,2023/24,Kotido Mc.pdf,https://budget.finance.go.ug/sites/default/files/Indivisual%20LG%20Budgets/Kotido%20Mc_0.pdf
63,Local Government  Budget Framework Papers,2023/24,Kumi Mc.pdf,https://budget.finance.go.ug/sites/default/files/Indivisual%20LG%20Budgets/Kumi%20Mc_1.pdf
64,Local Government  Budget Framework Papers,2023/24,Lira City.pdf,https://budget.finance.go.ug/sites/default/files/Indivisual%20LG%20Budgets/Lira%20City_6.pdf
65,Local Government  Budget Framework Papers,2023/24,Lugazi  Mc.pdf,https://budget.finance.go.ug/sites/default/files/Indivisual%20LG%20Budgets/Lugazi%20%20Mc.pdf
66,Local Government  Budget Framework Papers,2023/24,Makindye Ssebagabo Mc.pdf,https://budget.finance.go.ug/sites/default/files/Indivisual%20LG%20Budgets/Makindye%20Ssebagabo%20Mc_0.pdf
67,Local Government  Budget Framework Papers,2023/24,Masaka City.pdf,https://budget.finance.go.ug/sites/default/files/Indivisual%20LG%20Budgets/Masaka%20City_4.pdf
68,Local Government  Budget Framework Papers,2023/24,Masindi Mc.pdf,https://budget.finance.go.ug/sites/default/files/Indivisual%20LG%20Budgets/Masindi%20Mc_1.pdf
69,Local Government  Budget Framework Papers,2023/24,Mbale City.pdf,https://budget.finance.go.ug/sites/default/files/Indivisual%20LG%20Budgets/Mbale%20City_4.pdf
70,Local Government  Budget Framework Papers,2023/24,Mbarara City.pdf,https://budget.finance.go.ug/sites/default/files/Indivisual%20LG%20Budgets/Mbarara%20City_5.pdf
71,Local Government  Budget Framework Papers,2023/24,Mityana Mc.pdf,https://budget.finance.go.ug/sites/default/files/Indivisual%20LG%20Budgets/Mityana%20Mc_0.pdf
72,Local Government  Budget Framework Papers,2023/24,Moroto Mc.pdf,https://budget.finance.go.ug/sites/default/files/Indivisual%20LG%20Budgets/Moroto%20Mc_2.pdf
73,Local Government  Budget Framework Papers,2023/24,Mubende Mc.pdf,https://budget.finance.go.ug/sites/default/files/Indivisual%20LG%20Budgets/Mubende%20Mc_1.pdf
74,Local Government  Budget Framework Papers,2023/24,Mukono Mc.pdf,https://budget.finance.go.ug/sites/default/files/Indivisual%20LG%20Budgets/Mukono%20Mc_0.pdf
75,Local Government  Budget Framework Papers,2023/24,Nansana Mc.pdf,https://budget.finance.go.ug/sites/default/files/Indivisual%20LG%20Budgets/Nansana%20Mc_2.pdf
76,Local Government  Budget Framework Papers,2023/24,Njeru Mc.pdf,https://budget.finance.go.ug/sites/default/files/Indivisual%20LG%20Budgets/Njeru%20Mc_0.pdf
77,Local Government  Budget Framework Papers,2023/24,Ntungamo Mc.pdf,https://budget.finance.go.ug/sites/default/files/Indivisual%20LG%20Budgets/Ntungamo%20Mc_0.pdf
78,Local Government  Budget Framework Papers,2023/24,Rukungiri Mc.pdf,https://budget.finance.go.ug/sites/default/files/Indivisual%20LG%20Budgets/Rukungiri%20Mc_2.pdf
79,Local Government  Budget Framework Papers,2023/24,Sheema Mc.pdf,https://budget.finance.go.ug/sites/default/files/Indivisual%20LG%20Budgets/Sheema%20Mc_0.pdf
80,Local Government  Budget Framework Papers,2023/24,Soroti City.pdf,https://budget.finance.go.ug/sites/default/files/Indivisual%20LG%20Budgets/Soroti%20City_4.pdf
81,Local Government  Budget Framework Papers,2023/24,Abim District.pdf,https://budget.finance.go.ug/sites/default/files/Indivisual%20LG%20Budgets/Abim%20District_4.pdf
82,Local Government  Budget Framework Papers,2023/24,Adjumani District.pdf,https://budget.finance.go.ug/sites/default/files/Indivisual%20LG%20Budgets/Adjumani%20District_3.pdf
